'mover hacia la derecha','action-mover action-derecha',,,,
'mover a la derecha','action-mover action-derecha',,,,
'mover para la derecha','action-mover action-derecha',,,,
'por favor mover hacia la derecha','action-mover action-derecha',,,,
'por favor mover a la derecha','action-mover action-derecha',,,,
'por favor mover para la derecha','action-mover action-derecha',,,,
'quiero que te muevas hacia la derecha','action-mover action-derecha',,,,
'quiero que te muevas a la derecha','action-mover action-derecha',,,,
'quiero que te muevas para  la derecha','action-mover action-derecha',,,,
'moverse hacia la derecha','action-mover action-derecha',,,,
'moverse a la derecha','action-mover action-derecha',,,,
'moverse para la derecha','action-mover action-derecha',,,,
'¿ podrias moverlo hacia la derecha ?','action-mover action-derecha',,,,
'¿ podrias moverlo a la derecha ?','action-mover action-derecha',,,,
'¿ podrias moverlo para la derecha ?','action-mover action-derecha',,,,
'muevete hacia la derecha por favor','action-mover action-derecha',,,,
'muevete a la derecha por favor','action-mover action-derecha',,,,
'muevete para la derecha por favor','action-mover action-derecha',,,,
'mover hacia el este','action-mover action-derecha',,,,
'mover al este','action-mover action-derecha',,,,
'mover para el este','action-mover action-derecha',,,,
'por favor mover hacia el este','action-mover action-derecha',,,,
'por favor mover para el este','action-mover action-derecha',,,,
'por favor mover al este','action-mover action-derecha',,,,
'quiero que te muevas hacia el este','action-mover action-derecha',,,,
'quiero que te muevas al este','action-mover action-derecha',,,,
'quiero que te muevas para el este','action-mover action-derecha',,,,
'moverse hacia el este','action-mover action-derecha',,,,
'moverse al este','action-mover action-derecha',,,,
'moverse para el este','action-mover action-derecha',,,,
'¿ podrias moverlo hacia el este ?','action-mover action-derecha',,,,
'¿ podrias moverlo para el este ?','action-mover action-derecha',,,,
'¿ podrias moverlo al este ?','action-mover action-derecha',,,,
'muevete hacia el este por favor','action-mover action-derecha',,,,
'muevete al este por favor','action-mover action-derecha',,,,
'muevete para el este por favor','action-mover action-derecha',,,,
,,,,,
,,,,,
